GEOID,State,Year,Type,GEO display_label,Households,Poverty Households,ALICE Households,Above ALICE Households,Source: American Community Survey,County
1203375,Florida,2023,Place,"Balm CDP, Florida",1921,33,526,1362,5-Year,"Hillsborough County, Florida"
1203480,Florida,2023,Place,"Bardmoor CDP, Florida",3942,481,1069,2392,5-Year,"Pinellas County, Florida"
1203675,Florida,2023,Place,"Bartow city, Florida",6956,958,2259,3739,5-Year,"Polk County, Florida"
1203975,Florida,2023,Place,"Bay Harbor Islands town, Florida",2173,250,777,1146,5-Year,"Miami-Dade County, Florida"
1204070,Florida,2023,Place,"Bay Hill CDP, Florida",1609,54,208,1347,5-Year,"Orange County, Florida"
1204162,Florida,2023,Place,"Bayonet Point CDP, Florida",11415,2037,6337,3041,5-Year,"Pasco County, Florida"
1204200,Florida,2023,Place,"Bay Pines CDP, Florida",1350,125,488,737,5-Year,"Pinellas County, Florida"
1204350,Florida,2023,Place,"Bayshore Gardens CDP, Florida",7872,1039,3951,2882,5-Year,"Manatee County, Florida"
1204650,Florida,2023,Place,"Beacon Square CDP, Florida",3382,594,1662,1126,5-Year,"Pasco County, Florida"
1204735,Florida,2023,Place,"Bear Creek CDP, Florida",971,86,387,498,5-Year,"Pinellas County, Florida"
1204925,Florida,2023,Place,"Bee Ridge CDP, Florida",4567,382,1594,2591,5-Year,"Sarasota County, Florida"
1204975,Florida,2023,Place,"Bell town, Florida",184,29,59,96,5-Year,"Gilchrist County, Florida"
1205025,Florida,2023,Place,"Bellair-Meadowbrook Terrace CDP, Florida",5980,701,2818,2461,5-Year,"Clay County, Florida"
1205075,Florida,2023,Place,"Belleair town, Florida",1910,133,400,1377,5-Year,"Pinellas County, Florida"
1205100,Florida,2023,Place,"Belleair Beach city, Florida",666,52,117,497,5-Year,"Pinellas County, Florida"
1205125,Florida,2023,Place,"Belleair Bluffs city, Florida",1198,135,523,540,5-Year,"Pinellas County, Florida"
1205200,Florida,2023,Place,"Belle Glade city, Florida",5402,1609,2250,1543,5-Year,"Palm Beach County, Florida"
1205300,Florida,2023,Place,"Belle Isle city, Florida",2713,290,602,1821,5-Year,"Orange County, Florida"
1205375,Florida,2023,Place,"Belleview city, Florida",2343,493,945,905,5-Year,"Marion County, Florida"
1205462,Florida,2023,Place,"Bellview CDP, Florida",10049,1194,3269,5586,5-Year,"Escambia County, Florida"
1205806,Florida,2023,Place,"Berkshire Lakes CDP, Florida",1170,46,534,590,5-Year,"Collier County, Florida"
1206100,Florida,2023,Place,"Beverly Beach town, Florida",326,25,173,128,5-Year,"Flagler County, Florida"
1206125,Florida,2023,Place,"Beverly Hills CDP, Florida",4606,876,2020,1710,5-Year,"Citrus County, Florida"
1206350,Florida,2023,Place,"Big Coppitt Key CDP, Florida",1231,61,457,713,5-Year,"Monroe County, Florida"
1206425,Florida,2023,Place,"Big Pine Key CDP, Florida",1959,200,716,1043,5-Year,"Monroe County, Florida"
1206600,Florida,2023,Place,"Biscayne Park village, Florida",975,122,344,509,5-Year,"Miami-Dade County, Florida"
1206625,Florida,2023,Place,"Bithlo CDP, Florida",3322,746,656,1920,5-Year,"Orange County, Florida"
1206667,Florida,2023,Place,"Black Diamond CDP, Florida",659,65,37,557,5-Year,"Citrus County, Florida"
1206670,Florida,2023,Place,"Black Hammock CDP, Florida",631,75,329,227,5-Year,"Seminole County, Florida"
1206875,Florida,2023,Place,"Bloomingdale CDP, Florida",8087,673,1826,5588,5-Year,"Hillsborough County, Florida"
1206925,Florida,2023,Place,"Blountstown city, Florida",1203,344,333,526,5-Year,"Calhoun County, Florida"
1207375,Florida,2023,Place,"Bokeelia CDP, Florida",872,113,314,445,5-Year,"Lee County, Florida"
1207450,Florida,2023,Place,"Bonifay city, Florida",1186,281,641,264,5-Year,"Holmes County, Florida"
1207525,Florida,2023,Place,"Bonita Springs city, Florida",24586,1941,7127,15518,5-Year,"Lee County, Florida"
1207687,Florida,2023,Place,"Boulevard Gardens CDP, Florida",413,62,287,64,5-Year,"Broward County, Florida"
1207775,Florida,2023,Place,"Bowling Green city, Florida",717,178,308,231,5-Year,"Hardee County, Florida"
1207875,Florida,2023,Place,"Boynton Beach city, Florida",33297,3512,14771,15014,5-Year,"Palm Beach County, Florida"
1207950,Florida,2023,Place,"Bradenton city, Florida",23079,3073,9432,10574,5-Year,"Manatee County, Florida"
1207975,Florida,2023,Place,"Bradenton Beach city, Florida",476,35,189,252,5-Year,"Manatee County, Florida"
1208075,Florida,2023,Place,"Bradfordville CDP, Florida",6877,190,548,6139,5-Year,"Leon County, Florida"
